Category,Name,Japanese,Meaning,URL,URL 1,URL 2,Source File,Image,Image 1,Image 2
Attack Philosophy,Cho Soku,“Super Fast”,“Super Fast”,,,,Attack Philosophy 33eba015600d80bc8a11c76cf83603f5.csv,,,
Attack Philosophy,Speed To Set,ポジションに入る,Get into position,,,,Attack Philosophy 33eba015600d80bc8a11c76cf83603f5.csv,,,
Attack Philosophy,X,相手DF 1-4のニアサイド (1pass),Vacuum (1pass),X.mov,,,Attack Philosophy 33eba015600d80bc8a11c76cf83603f5.csv,,,
Attack Philosophy,Y,ミドルフィールド (2pass),Midfield (2pass),Y.mov,,,Attack Philosophy 33eba015600d80bc8a11c76cf83603f5.csv,,,
Attack Philosophy,Z,ワイド (3pass),Wide (3pass),Z.mov,,,Attack Philosophy 33eba015600d80bc8a11c76cf83603f5.csv,,,
Attack Philosophy,Short,ピッチの狭い方,Shortest part of the pitch,,,,Attack Philosophy 33eba015600d80bc8a11c76cf83603f5.csv,,,
Attack Philosophy,Edge,15ｍライン外側,Inside 15m channel,,,,Attack Philosophy 33eba015600d80bc8a11c76cf83603f5.csv,,,
Attack Philosophy,Long,ピッチの広い方,Longest part of the pitch,,,,Attack Philosophy 33eba015600d80bc8a11c76cf83603f5.csv,,,
Attack Philosophy,Jumme,順目へのアタック,Same way attack,,,,Attack Philosophy 33eba015600d80bc8a11c76cf83603f5.csv,,,
Attack Philosophy,Gyaku,反対サイドへのアタック,Change Direction,https://app.box.com/s/c6650jn4z51xyrnbijwrmbxde2k9o1nd,,,Attack Philosophy 33eba015600d80bc8a11c76cf83603f5.csv,,,
Attack Philosophy,11,1回キャリー→反対サイド,1 carry - change of direction,https://app.box.com/s/c6650jn4z51xyrnbijwrmbxde2k9o1nd,,,Attack Philosophy 33eba015600d80bc8a11c76cf83603f5.csv,,,
Attack Philosophy,21,2回キャリー→反対サイド,2 carries - change of direction,,,,Attack Philosophy 33eba015600d80bc8a11c76cf83603f5.csv,,,
Attack Philosophy,Tenkai,外にスペースがあるとき,Space on the edge - 1st back is tight,,,,Attack Philosophy 33eba015600d80bc8a11c76cf83603f5.csv,,,
Attack Philosophy,Man naka,グラウンド中のスペースをアタック,Attack through the middle,,,,Attack Philosophy 33eba015600d80bc8a11c76cf83603f5.csv,,,
Attack Philosophy,Spark,トランジション,Transition,,,,Attack Philosophy 33eba015600d80bc8a11c76cf83603f5.csv,,,
Breakdown,Tatakai,ファイトし続ける,Stay in Fight,https://app.box.com/s/jlvzk94q707sr4gm3a5yccg5zb97mol5,,,Breakdown 359ba015600d80dd8ac6fedae8559639_all.csv,,,
Breakdown,Feet,タックルに入られる時のキャリアーのフットワーク,Carrier footwork into the tackle,,,,Breakdown 359ba015600d80dd8ac6fedae8559639_all.csv,,,
Breakdown,Fight,レッグドライブ、上半身のファイト,Leg drive / upper body fight,https://app.box.com/s/tjws8i6e19domdtyzgtn63tor6fydgvm,,,Breakdown 359ba015600d80dd8ac6fedae8559639_all.csv,,,
Breakdown,Renda,凶暴なボールプレゼンテーション,Violent Ball present,https://app.box.com/s/xd7f66v2s3wbr6rpx2vvujws2xz58eeh,https://app.box.com/s/cqu3hhzcd61008r63hx7cwtsptcj2qdu,https://app.box.com/s/ds158iqfp99mjcjor0cum7rmcoekx9qu,Breakdown 359ba015600d80dd8ac6fedae8559639_all.csv,,,
Breakdown,Kame,カメラック,Turtle Ruck,,,,Breakdown 359ba015600d80dd8ac6fedae8559639_all.csv,,,
Breakdown,Bane,内側のサポート　ボールを越える,Inside support past the ball,https://app.box.com/s/r6yq3grjig3u65cawocwsot6nn4ysplx,,,Breakdown 359ba015600d80dd8ac6fedae8559639_all.csv,,,
Breakdown,Katana,外側のサポート　ディフェンスを倒す,Outside support clean the corner - defender off feet,https://app.box.com/s/9c8kb0hst4r19bsb42ra3ahkp1lcqe63,,,Breakdown 359ba015600d80dd8ac6fedae8559639_all.csv,,,
Breakdown,Momo,太ももターゲット,Target thighs,,,,Breakdown 359ba015600d80dd8ac6fedae8559639_all.csv,,,
Breakdown,Kamae,闘い　ファイティングポジション,Combat - Fighting position,,,,Breakdown 359ba015600d80dd8ac6fedae8559639_all.csv,,,
Breakdown,Nikai,キルしてダブルアクション　次のラックへ,Kill cleaner double action to 2nd ruck,https://app.box.com/s/6uiuvm8pz72jk1chr7tcy4bjartfnuot,,,Breakdown 359ba015600d80dd8ac6fedae8559639_all.csv,,,
Breakdown,Sabaki,ラックからの良いテンポでの捌き,Good tempo delivery from the ruck,,,,Breakdown 359ba015600d80dd8ac6fedae8559639_all.csv,,,
Breakdown,Geese,アンストラクチャーブレイクダウンサポート　背番号が見える位置から,Unstrucuture Breakdown Support -  a position where you can see the jersey number,https://app.box.com/s/cv7e1xh5q6fi1u474vxcce43g77kn7na,,,Breakdown 359ba015600d80dd8ac6fedae8559639_all.csv,,,
Breakdown,Himeno,ボールを置いて、立ち上がり、再度拾って全身,"Place the ball, stand up, and go forward again.",https://app.box.com/s/4m1j35a7z6olhtqhru4uda2z8frhwewb,,,Breakdown 359ba015600d80dd8ac6fedae8559639_all.csv,,,
Contest,Choke,チョークタックル,"Hold them up in the tackle, hips under",https://app.box.com/s/zdyk35uo2b3tvvjyt2emn3067vj0nh4u,,,Contest 358ba015600d8067a004f01bd34390d6_all.csv,,,
Contest,Rip,タックル時にボールを奪おうとする,Ball steal attempt in the tackle,,,,Contest 358ba015600d8067a004f01bd34390d6_all.csv,,,
Contest,Jackal,ジャッカル,Ball steal attempt,https://app.box.com/s/i2xazm52ukysliblv6p9op9167pwlu08,,,Contest 358ba015600d8067a004f01bd34390d6_all.csv,,,
Contest,Zero,ラックに入らない,Stay out the ruck,https://app.box.com/s/ikva1b8rkywy9hayp5w4er6rncxaskic,,,Contest 358ba015600d8067a004f01bd34390d6_all.csv,,,
Contest,Blast,カウンターラック,Counter ruck,https://app.box.com/s/ijuibv7mhvozdvq95wvq5ofjmpn01ul8,,,Contest 358ba015600d8067a004f01bd34390d6_all.csv,,,
Contest,Go byou (5 sec),相手のスピードを遅らせる,Slow down opposition speed,https://app.box.com/s/yqbkgztfm7h3gynfwavgeyd5wku6fcky,,,Contest 358ba015600d8067a004f01bd34390d6_all.csv,,,
Defence,5-2-2,最初の5歩、2人でタックル、2人フォールド,1st 5 steps hard / 2 in the tackle / 2 fold,https://app.box.com/s/13j5g4dx7mt2xhg51ok5alf9mn6chgqm,,,Defence 358ba015600d80f4bdd4f67b2619f4fe_all.csv,,,
Defence,1st 5 steps,激しい最初の5歩,Hard First 5 Steps,https://app.box.com/s/qq4gm0ilax6aqt4ojyhw3yns793wa7r9,,,Defence 358ba015600d80f4bdd4f67b2619f4fe_all.csv,,,
Defence,1 / - 1 (Ichi),ラックの隣の1人目のディフェンス,1st defender next to the ruck.,https://app.box.com/s/q4g8x3by1fse6twzum16k7xrikya01k0,,,Defence 358ba015600d80f4bdd4f67b2619f4fe_all.csv,,,
Defence,Mae mite,前を見て、相手のシェープを見る,"Eyes forward, whats their shape",https://app.box.com/s/4xnh5jwkefd7jjxuzdf7ffw536k6n8wj,,,Defence 358ba015600d80f4bdd4f67b2619f4fe_all.csv,,,
Defence,2 (Ni),2人目のディフェンス　Uchiへのティップ＋内側のプレッシャー,2nd defender - inside tip to A + inside pressure,https://app.box.com/s/q4g8x3by1fse6twzum16k7xrikya01k0,,,Defence 358ba015600d80f4bdd4f67b2619f4fe_all.csv,,,
Defence,4 (Yon),4人目のディフェンス　ティップのチェックとプッシュ,4th defender - marking the tip and push off,https://app.box.com/s/q4g8x3by1fse6twzum16k7xrikya01k0,,,Defence 358ba015600d80f4bdd4f67b2619f4fe_all.csv,,,
Defence,3 (San) / Set,3人目のディフェンス　最初のレシーバーの外肩,3rd defender on outside shoulder of their 1st receive.,https://app.box.com/s/q4g8x3by1fse6twzum16k7xrikya01k0,,,Defence 358ba015600d80f4bdd4f67b2619f4fe_all.csv,,,
Defence,5 (Go),5人目　ティップへのダブルヒットと後ろへのパス,5th defender - responsible for double hit on the tip or ball out the back,,,,Defence 358ba015600d80f4bdd4f67b2619f4fe_all.csv,,,
Defence,6 (Roku),6人目のディフェンス,6th defender,,,,Defence 358ba015600d80f4bdd4f67b2619f4fe_all.csv,,,
Defence,Agaru,ラインから上がる時のコール,Call off the line to go & get them.,https://app.box.com/s/ik2br8a9im0u76402ms990xhy3sq3fs3,,,Defence 358ba015600d80f4bdd4f67b2619f4fe_all.csv,,,
Defence,Ball,ボールディフェンダー,Ball defender,,,,Defence 358ba015600d80f4bdd4f67b2619f4fe_all.csv,,,
Defence,Hunt,内側からのプレッシャー,Inside pressure,https://app.box.com/s/txhmlz6qs4g1q8lon12foer61ab0y43t,,,Defence 358ba015600d80f4bdd4f67b2619f4fe_all.csv,,,
Defence,Adjust,ボールディフェンダーの外側,Defender outisde of “Ball Defender”,,,,Defence 358ba015600d80f4bdd4f67b2619f4fe_all.csv,,,
Defence,Fold,順目に回る,Defenders to keep folding Jumme,https://app.box.com/s/zcebfi687dy5l8ahtv6t1zlc10630cr5,,,Defence 358ba015600d80f4bdd4f67b2619f4fe_all.csv,,,
Defence,Stay,順目に回らず、Gyakuサイドに残る,No Folding - Stay on Gyaku side,https://app.box.com/s/uk8rorehsfzr510erzgve8o36wqjxzvx,,,Defence 358ba015600d80f4bdd4f67b2619f4fe_all.csv,,,
Defence,ICE,人数が少ないとき　サイドへ押し出す（外から2人目がコール）,Down on numbers - push to the side (Caller : 2nd last),https://app.box.com/s/j6wlouadsh9dqb3gohwi8pez6h91rg2i,,,Defence 358ba015600d80f4bdd4f67b2619f4fe_all.csv,,,
Defence,Hit,人数が合っている　前へ出る（外から2人目がコール）,Numbers are on go and get them (Caller : 2nd last),https://app.box.com/s/j6wlouadsh9dqb3gohwi8pez6h91rg2i,,,Defence 358ba015600d80f4bdd4f67b2619f4fe_all.csv,,,
Defence,Boot,プラグする前に9がラックの後ろに入る,9 behind the ruck before he plugs,https://app.box.com/s/6cmyv6iuici0gy1dr4tjylwivvf5tmva,,,Defence 358ba015600d80f4bdd4f67b2619f4fe_all.csv,,,
Defence,Plug,穴を埋めるために9がラインに入る,9 gets in the line to fill in (generally at 1 or -1),https://app.box.com/s/6cmyv6iuici0gy1dr4tjylwivvf5tmva,,,Defence 358ba015600d80f4bdd4f67b2619f4fe_all.csv,,,
Defence,Kabe,つながり続けるー壁ディフェンス(１４−１）,"Connect, Connect, Connect! - Wall Defence (14/1)",https://app.box.com/s/hza25g51bgzakla4hze8vwpj089rcphb,,,Defence 358ba015600d80f4bdd4f67b2619f4fe_all.csv,,,
Defence,Hotto,Sparkディフェンス時の素早いトランジションコール,tactical communication used to trigger an immediate and high-speed transition from attack to defense.,https://app.box.com/s/5an7t792ohl0eqxexshz3xc3hsqw1cl4,,,Defence 358ba015600d80f4bdd4f67b2619f4fe_all.csv,,,
Kick Sprint,Wreck,ラックに入り、相手のFwdを掴み続ける,The forward in front of the ruck engages and holds their players in.,https://app.box.com/s/fugug9kvmnhxn511rbxc0hba8lq18zr5,,,Kick Sprint 358ba015600d8005a8f2c16cc25afd05_all.csv,,,
Kick Sprint,"Left, Ball, Right",キックチェイス時のポジション,Pitch positions inside the kick sprint - ball being the carrier,,,,Kick Sprint 358ba015600d8005a8f2c16cc25afd05_all.csv,,,
Kick Sprint,Hot 3,キックレシーブ最初のラック　近い2人がロック,1st ruck - closest 2 players lock in over the ball.,,,,Kick Sprint 358ba015600d8005a8f2c16cc25afd05_all.csv,,,
Kick Sprint,Jama,空中で競って邪魔する,Players attacking their tap back,,,,Kick Sprint 358ba015600d8005a8f2c16cc25afd05_all.csv,,,
Kick Sprint,Land,キャッチャーの足が地面に着いた瞬間にタックル,Smash the catcher as he lands on the floor post catch,,,,Kick Sprint 358ba015600d8005a8f2c16cc25afd05_all.csv,,,
Kick Sprint,Crumbs,キックキャッチのこぼれ球を拾うプレーヤー,Players responsible for covering loose balls,,,,Kick Sprint 358ba015600d8005a8f2c16cc25afd05_all.csv,,,
Kick Sprint,Ghost,キックキャッチのこぼれ球を拾うプレーヤー（相手側）,Players responsible for covering loose balls in oppostion side,,,,Kick Sprint 358ba015600d8005a8f2c16cc25afd05_all.csv,,,
Kick Sprint,Fire,キックチェイスライン,Kick chase line,,,,Kick Sprint 358ba015600d8005a8f2c16cc25afd05_all.csv,,,
Kick Sprint,Dohan,キャッチャーを守るためにもどるプレーヤー,Chase back to protect catcher,,,,Kick Sprint 358ba015600d8005a8f2c16cc25afd05_all.csv,,,
Kicking,Sun,9からのハイボール,9 Box,https://app.box.com/s/flo3n3x0e8m3fc3edrvuow2fcqqqfqu6,,,Kicking 358ba015600d804c8668f97c5134d176_all.csv,,,
Kicking,Moon,9からのロングキック,9 Long,https://app.box.com/s/1zer73ou8wc41huu3cxlqllx7rxjzr1t,,,Kicking 358ba015600d804c8668f97c5134d176_all.csv,,,
Kicking,Star,ロングキック,Long,,,,Kicking 358ba015600d804c8668f97c5134d176_all.csv,,,
Kicking,Sky,ハイボール,Bomb,https://app.box.com/s/qs1fe8r2jo4lisonhjyy6l0tjdk2zpn1,,,Kicking 358ba015600d804c8668f97c5134d176_all.csv,,,
Kicking,Rainbow,キックパス,Cross Kick,,,,Kicking 358ba015600d804c8668f97c5134d176_all.csv,,,
